ts,open,high,low,close,volume
2010-01-04,100.1114,100.7427,99.7495,100.7427,1899496
2010-01-05,100.9469,101.8580,100.9469,101.5583,1322164
2010-01-06,102.0513,103.1167,101.8266,103.1167,1517805
2010-01-07,103.0845,103.5175,102.1793,102.9712,1100117
2010-01-08,102.6277,102.8990,101.1900,101.9586,1373834
2010-01-11,101.8118,101.8118,100.8418,101.2634,1715433
2010-01-12,101.2055,101.9703,100.1916,100.2330,2371671
2010-01-13,100.3263,101.7666,100.3263,101.7666,1700755
2010-01-14,101.7210,102.6527,101.3975,101.5713,1699696
2010-01-15,101.5813,102.1428,101.5080,101.6625,1516313
2010-01-18,101.8282,102.7449,101.5746,102.4926,1694541
2010-01-19,102.4240,102.5924,102.1204,102.2279,1251923
2010-01-20,102.5559,103.2772,102.5559,103.2772,1274878
2010-01-21,103.3608,104.8023,103.1278,104.8023,1906699
2010-01-22,104.5966,104.7206,103.7525,103.7525,892068
2010-01-25,103.6436,103.7905,102.8693,103.3312,951626
2010-01-26,103.3550,104.3896,103.2903,103.6072,1243586
2010-01-27,103.3830,103.4769,101.2375,101.2375,1908969
2010-01-28,101.3747,102.5617,101.0353,102.5617,2020539
2010-01-29,102.6171,103.5593,102.4809,103.5593,1257233
2010-02-01,103.4454,104.1219,103.0572,103.0572,1796725
2010-02-02,103.1946,104.0389,103.1522,103.8038,1704005
2010-02-03,103.9255,104.1860,103.5330,104.1860,1168838
2010-02-04,104.1542,104.6853,103.7490,103.9015,993676
2010-02-05,103.8054,104.0431,102.2594,102.2594,1967430
2010-02-08,102.2204,102.6072,101.6011,102.1442,1002727
2010-02-09,102.1362,102.3964,101.7540,102.0804,1083578
2010-02-10,102.1461,103.4544,102.1461,102.6725,782076
2010-02-11,102.8418,104.4101,102.8418,103.8408,1393456
2010-02-12,103.4991,103.6678,102.4866,102.4866,1863230
2010-02-15,102.5100,102.9314,101.8066,102.6516,793719
2010-02-16,102.7155,103.2939,102.3842,102.8401,946337
2010-02-17,102.6357,103.0732,101.9627,102.0307,2208298
2010-02-18,101.8428,102.2284,101.1654,101.4345,1551341
2010-02-19,101.8278,103.6427,101.8278,103.6427,3221011
2010-02-22,103.0383,103.0383,101.7522,101.7522,2001298
2010-02-23,101.7280,102.9168,101.5500,101.5500,1217100
2010-02-24,101.4556,101.6940,100.5376,101.2060,838144
2010-02-25,101.0940,101.0940,99.6971,100.3686,1843342
2010-02-26,100.5001,100.8659,99.5004,100.8659,1570954
2010-03-01,101.0267,102.6051,101.0267,102.2762,2286940
2010-03-02,102.1567,102.9218,101.3899,101.6996,2056269
2010-03-03,101.5992,101.5992,99.8589,100.9202,1867128
2010-03-04,100.8384,101.6146,100.3604,100.3604,937684
