ts,open,high,low,close,volume
2010-01-04,100.1649,101.9853,100.1649,101.2547,2755213
2010-01-05,101.2388,102.0676,101.1609,101.1609,1050725
2010-01-06,100.6574,100.6574,99.6458,99.6458,1665986
2010-01-07,99.7438,100.5799,99.0408,100.5799,1952875
2010-01-08,100.2970,100.6455,99.1882,99.3566,1790219
2010-01-11,99.4437,100.3910,99.4437,100.1252,1341228
2010-01-12,99.8311,99.9234,99.1984,99.1984,1696307
2010-01-13,99.1971,99.4420,98.8685,99.1799,1356080
2010-01-14,99.1216,99.1216,98.2910,98.3452,1603022
2010-01-15,98.0500,98.0500,97.0169,97.0169,1919048
2010-01-18,96.9149,97.3615,96.0710,96.0801,1512786
2010-01-19,95.9717,96.0935,94.7651,95.3402,1665979
2010-01-20,95.7851,97.1163,95.6212,96.7336,1990399
2010-01-21,96.6737,96.6737,95.7598,96.3728,1744086
2010-01-22,96.5410,97.2648,96.5410,97.0106,1566090
2010-01-25,97.0001,97.0815,96.6858,96.9402,1141675
2010-01-26,97.0780,97.7147,97.0780,97.7147,1595091
2010-01-27,97.7478,99.0262,97.7478,98.0814,1702048
2010-01-28,97.9216,98.0594,97.0442,97.2379,1834311
2010-01-29,97.3286,98.6532,97.1206,97.9834,1135131
2010-02-01,98.0391,98.3838,97.2012,98.3838,1402754
2010-02-02,98.4435,99.3070,98.4435,98.6605,2073775
2010-02-03,98.7838,100.3466,98.7055,99.9174,2545638
2010-02-04,99.8293,100.0398,98.5702,98.5702,1251183
2010-02-05,98.8262,99.3257,98.4613,99.3257,1601285
2010-02-08,99.0201,99.3191,98.2365,98.3549,1108769
2010-02-09,98.4370,99.2373,98.2888,98.9001,1383495
2010-02-10,98.9568,99.7330,98.9568,99.7152,2320291
2010-02-11,99.6365,99.8541,99.1805,99.3517,1086329
2010-02-12,99.3829,99.8265,98.8969,99.6677,1695534
2010-02-15,99.3652,99.3652,98.1719,98.6012,1831089
2010-02-16,98.6374,99.0736,97.9804,98.8123,1511170
2010-02-17,99.1261,100.2394,99.0243,99.8343,1305725
2010-02-18,99.7589,100.3893,99.3358,99.3358,1928611
2010-02-19,98.9689,99.0814,97.4106,97.7588,2064770
2010-02-22,97.9420,98.9339,97.6110,98.6338,1660774
2010-02-23,98.6105,98.7382,98.1005,98.4153,1114385
2010-02-24,98.4748,99.3996,98.4748,98.7417,1920588
2010-02-25,98.3390,98.3390,97.3740,97.3740,1478754
2010-02-26,97.3067,97.3067,95.9353,97.0821,1301696
2010-03-01,96.9988,97.0107,96.1215,96.3629,1225882
2010-03-02,96.3868,96.7816,96.0131,96.5303,1292508
2010-03-03,96.5143,97.1508,96.1515,96.2548,955976
2010-03-04,95.7924,95.7924,94.4894,94.4894,2625558
2010-03-05,94.7578,95.4756,94.6057,95.4087,1512486
2010-03-08,94.8861,94.8861,93.1603,93.9107,2165944
2010-03-09,93.9515,94.5473,93.7094,94.2889,1349824
2010-03-10,94.5869,95.7454,94.5869,95.6301,1160733
2010-03-11,95.6320,96.2214,95.5994,95.6416,1021078
2010-03-12,95.7983,96.3844,95.5914,96.3844,1306129
2010-03-15,96.1862,96.7946,93.7081,94.4700,1119773
2010-03-16,94.9511,97.9746,93.3055,97.9746,1330613
2010-03-17,98.6258,102.3980,98.6258,100.6049,1476958
2010-03-18,100.6880,102.3517,100.6880,101.7561,1062853
2010-03-19,102.0256,105.0224,101.9533,105.0224,1870378
2010-03-22,104.3196,104.3196,99.8211,100.8641,1199481
2010-03-23,100.8070,101.1082,100.0033,100.2676,1129631
2010-03-24,99.7663,99.7736,97.9400,97.9400,1609277
2010-03-25,98.1133,101.5317,97.8778,99.4749,1171820
2010-03-26,99.7990,100.8826,99.1320,100.8826,1328441
2010-03-29,100.9429,101.2730,98.6404,101.2730,1384017
2010-03-30,101.2522,103.6847,100.9788,101.0381,1535010
2010-03-31,101.4180,105.3003,101.4180,102.5059,761652
2010-04-01,102.3429,102.3429,100.6199,101.5023,840995
2010-04-02,102.9847,105.9864,101.7577,105.9864,2902055
2010-04-05,106.7146,108.9346,105.4430,108.4624,1261310
2010-04-06,108.5520,109.9794,108.5520,109.6643,1277531
2010-04-07,109.1377,109.1377,107.0749,107.0749,2408201
2010-04-08,107.0202,107.5613,106.8726,106.8726,1443374
2010-04-09,106.6505,106.9890,105.7306,105.9888,971697
2010-04-12,106.9724,109.1085,106.9724,108.8640,1869112
2010-04-13,108.5976,108.5976,106.6509,107.2499,1975128
