ts,open,high,low,close,volume
2010-01-04,100.0580,100.9367,99.1392,100.9367,2124961
2010-01-05,101.0450,101.6357,100.9788,101.3481,888514
2010-01-06,101.5513,102.8740,101.5513,102.3403,1581929
2010-01-07,102.3127,102.4434,102.0630,102.2129,1286687
2010-01-08,101.8824,101.8824,100.2052,100.2052,1854171
2010-01-11,100.6997,102.4410,100.6997,101.9654,2053630
2010-01-12,101.8708,101.8708,100.5123,100.5123,1389880
2010-01-13,100.6567,100.9842,100.3935,100.9755,1261729
2010-01-14,101.1267,102.3674,101.1267,101.5452,1523072
2010-01-15,101.7470,102.3963,101.0808,102.3963,1695578
2010-01-18,102.4968,103.8776,102.4968,103.8776,1610450
2010-01-19,103.6547,103.6547,101.0878,101.0878,2088256
2010-01-20,101.6983,104.3932,101.6983,103.2274,2088540
2010-01-21,103.1403,103.2189,100.4143,102.1905,1268180
2010-01-22,102.1078,103.8590,101.4088,101.4217,1417701
2010-01-25,101.2371,101.2371,98.5775,99.4897,1327551
2010-01-26,99.5833,102.6141,99.5833,100.5387,883011
2010-01-27,99.6572,99.6653,97.4933,97.7055,2429019
2010-01-28,97.8594,100.8960,97.8594,100.6870,1406576
2010-01-29,100.4859,100.7675,98.7837,99.2116,1642454
2010-02-01,99.0239,99.7060,97.7364,97.7364,1513681
2010-02-02,98.0925,98.8700,97.6825,98.8477,1438802
2010-02-03,99.0187,100.0254,99.0187,99.3823,1850849
2010-02-04,99.1874,99.1874,97.9571,98.7972,1212281
2010-02-05,98.6209,98.6209,97.6097,97.6097,1389163
2010-02-08,97.1715,97.1715,96.2245,96.2245,1922166
2010-02-09,95.8214,95.8214,94.2085,94.6255,2607401
2010-02-10,94.6405,95.1103,94.3741,94.6886,1237339
2010-02-11,94.8875,95.3948,94.4077,95.3948,2418678
2010-02-12,95.3470,95.4583,94.8285,95.1400,1526467
2010-02-15,94.9384,94.9384,94.0135,94.3771,1490454
2010-02-16,94.3008,94.5239,93.9222,94.1541,1500720
2010-02-17,94.3790,94.8858,93.8587,94.8858,1789402
2010-02-18,94.5408,94.5408,93.6554,93.6554,2723965
2010-02-19,93.5216,93.9063,93.2697,93.2697,770004
2010-02-22,93.1914,93.1914,92.0218,92.5227,1547810
