ts,open,high,low,close,volume
2010-01-04,100.0698,100.5878,99.8124,100.2746,1813413
2010-01-05,100.2139,100.2139,99.6319,99.6319,1352436
2010-01-06,99.6536,100.4049,99.3848,99.7454,990248
2010-01-07,99.5336,100.1497,99.0424,99.0424,1296131
2010-01-08,99.4617,100.9482,99.4617,100.3773,1612603
2010-01-11,100.4167,100.7820,100.4105,100.5250,1088328
2010-01-12,100.5631,100.6607,99.7175,100.6607,1249431
2010-01-13,100.6868,101.2989,100.6868,100.8472,1112576
2010-01-14,100.4778,100.6331,99.5235,99.5235,1384964
2010-01-15,99.8022,100.5966,99.5117,100.3675,2799935
2010-01-18,100.2552,100.2552,98.7426,98.7426,2878970
2010-01-19,98.7339,98.9990,98.4580,98.6954,1158931
2010-01-20,98.6645,99.3115,98.4366,98.5573,1387302
2010-01-21,98.4896,98.7591,97.5585,98.2441,1012207
2010-01-22,98.2249,98.2249,97.4913,98.1887,1055188
2010-01-25,98.0622,98.1026,97.6881,97.7797,1525358
2010-01-26,97.6661,98.3136,97.3657,97.3657,1190624
2010-01-27,97.3761,97.5082,96.4613,97.5082,977934
2010-01-28,97.4455,97.5128,97.1134,97.1134,2449794
2010-01-29,97.3209,97.8023,97.2792,97.7325,1953529
2010-02-01,97.8665,98.5751,97.6710,98.5694,2630984
2010-02-02,99.0599,100.4988,98.9978,100.4988,4131883
2010-02-03,100.2956,100.5421,99.8437,99.8437,1273325
2010-02-04,99.7099,99.7099,98.3411,98.3411,2213567
2010-02-05,98.2980,98.4513,97.7758,98.1277,1365095
2010-02-08,98.2590,98.5423,97.9661,98.5423,1660884
2010-02-09,98.5479,98.6714,98.2313,98.6145,867586
2010-02-10,98.8607,99.9625,98.5535,99.8282,3642502
2010-02-11,99.6956,100.0251,99.3837,99.3837,1155862
2010-02-12,99.4390,100.0650,99.0075,100.0650,2209485
2010-02-15,100.1062,100.5850,99.7679,100.5125,867499
2010-02-16,100.5503,101.0291,99.8900,100.6790,972469
2010-02-17,100.5171,100.5171,99.1367,100.2038,1696437
2010-02-18,99.9850,99.9850,97.8773,98.2003,2236042
2010-02-19,98.1693,98.9501,98.1006,98.1006,953936
2010-02-22,97.8362,97.8362,97.0345,97.1092,2162835
2010-02-23,97.0722,97.9479,96.9371,96.9371,1014393
2010-02-24,96.6230,96.6230,95.5480,95.5480,3170989
2010-02-25,95.6888,96.9407,95.6781,96.3841,1629724
2010-02-26,96.6488,98.1654,96.1836,97.9391,2425610
2010-03-01,97.9285,98.6485,97.4799,97.8886,720029
2010-03-02,97.6817,97.8306,96.8518,96.8518,1331289
2010-03-03,96.8024,96.9151,96.4821,96.5146,1196705
2010-03-04,96.8951,97.7523,96.8951,97.7523,2218732
2010-03-05,97.8088,98.9556,97.8088,98.2836,1212644
2010-03-08,98.1701,98.1701,97.4075,97.8144,1245457
2010-03-09,97.4836,97.7848,95.9715,96.3658,1735594
2010-03-10,96.2551,96.2551,95.4666,95.6538,1775438
2010-03-11,95.7033,96.5003,95.4367,96.5003,2020971
2010-03-12,96.5041,96.7087,96.3656,96.5136,1196218
2010-03-15,96.4082,96.4082,95.8906,95.9621,1636939
2010-03-16,95.5973,95.8429,94.8523,94.8523,1487407
2010-03-17,95.1648,96.0322,94.2898,96.0322,1698997
2010-03-18,96.0952,97.1220,96.0952,97.1220,2752285
2010-03-19,97.0136,97.1267,96.1910,96.6756,1211044
2010-03-22,96.6181,96.6181,95.2582,95.7979,2172386
2010-03-23,95.5810,95.8650,94.9667,94.9863,1572561
2010-03-24,94.9069,95.3831,94.2927,94.6613,1393548
2010-03-25,94.7120,94.9608,93.7856,94.9608,841584
2010-03-26,95.0305,95.7895,94.7554,95.5715,1401883
